,Sector,Year,FDI($)
567,METALLURGICAL INDUSTRIES,2010,419.88
568,MINING,2010,174.4
569,POWER,2010,1271.79
570,NON-CONVENTIONAL ENERGY,2010,622.52
571,COAL PRODUCTION,2010,0.0
572,PETROLEUM & NATURAL GAS,2010,265.53
573,BOILERS AND STEAM GENERATING PLANTS,2010,3.96
574,PRIME MOVER,2010,39.5
575,ELECTRICAL EQUIPMENTS,2010,728.27
576,COMPUTER SOFTWARE & HARDWARE,2010,871.86
577,ELECTRONICS,2010,52.14
578,TELECOMMUNICATIONS,2010,2539.26
579,INFORMATION & BROADCASTING,2010,490.83
580,AUTOMOBILE INDUSTRY,2010,1236.29
581,AIR TRANSPORT,2010,23.71
582,SEA TRANSPORT,2010,284.85
583,PORTS,2010,65.41
584,RAILWAY RELATED COMPONENTS,2010,34.43
585,INDUSTRIAL MACHINERY,2010,341.88
586,MACHINE TOOLS,2010,133.83
587,AGRICULTURAL MACHINERY,2010,1.88
588,EARTH-MOVING MACHINERY,2010,15.62
589,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2010,149.59
590,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2010,78.98
591,MEDICAL AND SURGICAL APPLIANCES,2010,167.35
592,INDUSTRIAL INSTRUMENTS,2010,7.61
593,SCIENTIFIC INSTRUMENTS,2010,0.0
594,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2010,0.0
595,FERTILIZERS,2010,8.2
596,CHEMICALS,2010,365.94
597,PHOTOGRAPHIC RAW FILM AND PAPER,2010,0.0
598,DYE-STUFFS,2010,4.02
599,DRUGS & PHARMACEUTICALS,2010,213.08
600,"TEXTILES (INCLUDING DYED,PRINTED)",2010,150.27
601,PAPER AND PULP,2010,16.42
602,SUGAR,2010,0.1
603,FERMENTATION INDUSTRIES,2010,112.02
604,FOOD PROCESSING INDUSTRIES,2010,278.89
605,VEGETABLE OILS AND VANASPATI,2010,69.74
606,"SOAPS, COSMETICS & TOILET PREPARATIONS",2010,24.58
607,RUBBER GOODS,2010,24.12
608,"LEATHER,LEATHER GOODS AND PICKERS",2010,5.06
609,GLUE AND GELATIN,2010,0.27
610,GLASS,2010,2.83
611,CERAMICS,2010,7.21
612,CEMENT AND GYPSUM PRODUCTS,2010,33.8
613,TIMBER PRODUCTS,2010,6.54
614,DEFENCE INDUSTRIES,2010,0.0
615,CONSULTANCY SERVICES,2010,341.31
616,SERVICES SECTOR,2010,4174.53
617,HOSPITAL & DIAGNOSTIC CENTRES,2010,135.57
618,EDUCATION,2010,63.35
619,HOTEL & TOURISM,2010,753.02
620,TRADING,2010,737.95
621,RETAIL TRADING,2010,13.73
622,AGRICULTURE SERVICES,2010,1222.22
623,"DIAMOND,GOLD ORNAMENTS",2010,31.08
624,TEA AND COFFEE,2010,8.15
625,PRINTING OF BOOKS,2010,70.51
626,COIR,2010,0.25
627,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2010,324.56
628,CONSTRUCTION DEVELOPMENT,2010,5466.13
629,MISCELLANEOUS INDUSTRIES,2010,1147.56
630,METALLURGICAL INDUSTRIES,2011,1098.14
631,MINING,2011,79.51
632,POWER,2011,1271.77
633,NON-CONVENTIONAL ENERGY,2011,214.4
634,COAL PRODUCTION,2011,0.0
635,PETROLEUM & NATURAL GAS,2011,556.43
636,BOILERS AND STEAM GENERATING PLANTS,2011,0.63
637,PRIME MOVER,2011,166.44
638,ELECTRICAL EQUIPMENTS,2011,153.9
639,COMPUTER SOFTWARE & HARDWARE,2011,779.81
640,ELECTRONICS,2011,59.72
641,TELECOMMUNICATIONS,2011,1664.5
642,INFORMATION & BROADCASTING,2011,412.11
643,AUTOMOBILE INDUSTRY,2011,1299.41
644,AIR TRANSPORT,2011,136.6
645,SEA TRANSPORT,2011,300.51
646,PORTS,2011,10.92
647,RAILWAY RELATED COMPONENTS,2011,70.66
648,INDUSTRIAL MACHINERY,2011,467.92
649,MACHINE TOOLS,2011,11.63
650,AGRICULTURAL MACHINERY,2011,0.49
651,EARTH-MOVING MACHINERY,2011,1.77
652,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2011,108.67
653,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2011,25.12
654,MEDICAL AND SURGICAL APPLIANCES,2011,32.22
655,INDUSTRIAL INSTRUMENTS,2011,25.48
656,SCIENTIFIC INSTRUMENTS,2011,2.49
657,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2011,0.0
658,FERTILIZERS,2011,18.18
659,CHEMICALS,2011,2354.4
660,PHOTOGRAPHIC RAW FILM AND PAPER,2011,0.81
661,DYE-STUFFS,2011,5.37
662,DRUGS & PHARMACEUTICALS,2011,209.38
663,"TEXTILES (INCLUDING DYED,PRINTED)",2011,129.65
664,PAPER AND PULP,2011,6.53
665,SUGAR,2011,0.17
666,FERMENTATION INDUSTRIES,2011,57.71
667,FOOD PROCESSING INDUSTRIES,2011,188.67
668,VEGETABLE OILS AND VANASPATI,2011,58.07
669,"SOAPS, COSMETICS & TOILET PREPARATIONS",2011,102.9
670,RUBBER GOODS,2011,17.21
671,"LEATHER,LEATHER GOODS AND PICKERS",2011,9.26
672,GLUE AND GELATIN,2011,0.01
673,GLASS,2011,7.6
674,CERAMICS,2011,12.0
675,CEMENT AND GYPSUM PRODUCTS,2011,637.68
676,TIMBER PRODUCTS,2011,1.58
677,DEFENCE INDUSTRIES,2011,0.0
678,CONSULTANCY SERVICES,2011,274.84
679,SERVICES SECTOR,2011,3296.09
680,HOSPITAL & DIAGNOSTIC CENTRES,2011,256.0
681,EDUCATION,2011,37.94
682,HOTEL & TOURISM,2011,308.05
683,TRADING,2011,498.04
684,RETAIL TRADING,2011,26.27
685,AGRICULTURE SERVICES,2011,43.9
686,"DIAMOND,GOLD ORNAMENTS",2011,19.59
687,TEA AND COFFEE,2011,3.12
688,PRINTING OF BOOKS,2011,36.63
689,COIR,2011,0.1
690,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2011,675.07
691,CONSTRUCTION DEVELOPMENT,2011,1663.03
692,MISCELLANEOUS INDUSTRIES,2011,1475.97
693,METALLURGICAL INDUSTRIES,2012,1786.14
694,MINING,2012,142.65
695,POWER,2012,1652.38
696,NON-CONVENTIONAL ENERGY,2012,452.17
697,COAL PRODUCTION,2012,0.0
698,PETROLEUM & NATURAL GAS,2012,2029.98
699,BOILERS AND STEAM GENERATING PLANTS,2012,31.79
700,PRIME MOVER,2012,313.75
701,ELECTRICAL EQUIPMENTS,2012,566.39
702,COMPUTER SOFTWARE & HARDWARE,2012,796.35
703,ELECTRONICS,2012,194.41
704,TELECOMMUNICATIONS,2012,1997.24
705,INFORMATION & BROADCASTING,2012,675.96
706,AUTOMOBILE INDUSTRY,2012,922.99
707,AIR TRANSPORT,2012,31.22
708,SEA TRANSPORT,2012,129.36
709,PORTS,2012,0.0
710,RAILWAY RELATED COMPONENTS,2012,42.27
711,INDUSTRIAL MACHINERY,2012,620.66
712,MACHINE TOOLS,2012,127.87
713,AGRICULTURAL MACHINERY,2012,2.77
714,EARTH-MOVING MACHINERY,2012,16.4
715,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2012,1295.34
716,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2012,29.04
717,MEDICAL AND SURGICAL APPLIANCES,2012,141.61
718,INDUSTRIAL INSTRUMENTS,2012,3.99
719,SCIENTIFIC INSTRUMENTS,2012,7.08
720,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2012,0.0
721,FERTILIZERS,2012,32.6
722,CHEMICALS,2012,4040.71
723,PHOTOGRAPHIC RAW FILM AND PAPER,2012,0.0
724,DYE-STUFFS,2012,0.58
725,DRUGS & PHARMACEUTICALS,2012,3232.28
726,"TEXTILES (INCLUDING DYED,PRINTED)",2012,164.19
727,PAPER AND PULP,2012,407.35
728,SUGAR,2012,4.44
729,FERMENTATION INDUSTRIES,2012,69.7
730,FOOD PROCESSING INDUSTRIES,2012,170.21
731,VEGETABLE OILS AND VANASPATI,2012,65.02
732,"SOAPS, COSMETICS & TOILET PREPARATIONS",2012,222.08
733,RUBBER GOODS,2012,187.37
734,"LEATHER,LEATHER GOODS AND PICKERS",2012,8.3
735,GLUE AND GELATIN,2012,5.84
736,GLASS,2012,32.22
737,CERAMICS,2012,9.87
738,CEMENT AND GYPSUM PRODUCTS,2012,267.9
739,TIMBER PRODUCTS,2012,29.6
740,DEFENCE INDUSTRIES,2012,3.66
741,CONSULTANCY SERVICES,2012,289.89
742,SERVICES SECTOR,2012,5215.98
743,HOSPITAL & DIAGNOSTIC CENTRES,2012,310.43
744,EDUCATION,2012,105.62
745,HOTEL & TOURISM,2012,992.86
746,TRADING,2012,731.55
747,RETAIL TRADING,2012,31.7
748,AGRICULTURE SERVICES,2012,49.02
749,"DIAMOND,GOLD ORNAMENTS",2012,36.3
750,TEA AND COFFEE,2012,5.32
751,PRINTING OF BOOKS,2012,47.39
752,COIR,2012,0.55
753,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2012,386.28
754,CONSTRUCTION DEVELOPMENT,2012,3140.78
755,MISCELLANEOUS INDUSTRIES,2012,813.38
756,METALLURGICAL INDUSTRIES,2013,1466.23
757,MINING,2013,57.89
758,POWER,2013,535.68
759,NON-CONVENTIONAL ENERGY,2013,1106.52
760,COAL PRODUCTION,2013,0.0
761,PETROLEUM & NATURAL GAS,2013,214.8
762,BOILERS AND STEAM GENERATING PLANTS,2013,20.05
763,PRIME MOVER,2013,184.6
764,ELECTRICAL EQUIPMENTS,2013,195.87
765,COMPUTER SOFTWARE & HARDWARE,2013,485.96
766,ELECTRONICS,2013,38.24
767,TELECOMMUNICATIONS,2013,303.87
768,INFORMATION & BROADCASTING,2013,404.04
769,AUTOMOBILE INDUSTRY,2013,1537.28
770,AIR TRANSPORT,2013,15.89
771,SEA TRANSPORT,2013,64.62
772,PORTS,2013,0.0
773,RAILWAY RELATED COMPONENTS,2013,29.85
774,INDUSTRIAL MACHINERY,2013,503.83
775,MACHINE TOOLS,2013,101.39
776,AGRICULTURAL MACHINERY,2013,95.41
777,EARTH-MOVING MACHINERY,2013,5.1
778,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2013,89.45
779,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2013,24.33
780,MEDICAL AND SURGICAL APPLIANCES,2013,83.02
781,INDUSTRIAL INSTRUMENTS,2013,0.58
782,SCIENTIFIC INSTRUMENTS,2013,73.28
783,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2013,6.71
784,FERTILIZERS,2013,42.55
785,CHEMICALS,2013,292.16
786,PHOTOGRAPHIC RAW FILM AND PAPER,2013,0.0
787,DYE-STUFFS,2013,0.0
788,DRUGS & PHARMACEUTICALS,2013,1123.46
789,"TEXTILES (INCLUDING DYED,PRINTED)",2013,103.89
790,PAPER AND PULP,2013,5.09
791,SUGAR,2013,12.26
792,FERMENTATION INDUSTRIES,2013,107.21
793,FOOD PROCESSING INDUSTRIES,2013,401.46
794,VEGETABLE OILS AND VANASPATI,2013,108.39
795,"SOAPS, COSMETICS & TOILET PREPARATIONS",2013,160.07
796,RUBBER GOODS,2013,642.18
797,"LEATHER,LEATHER GOODS AND PICKERS",2013,46.7
798,GLUE AND GELATIN,2013,0.0
799,GLASS,2013,209.16
800,CERAMICS,2013,4.33
801,CEMENT AND GYPSUM PRODUCTS,2013,12.38
802,TIMBER PRODUCTS,2013,29.17
803,DEFENCE INDUSTRIES,2013,0.41
804,CONSULTANCY SERVICES,2013,142.32
805,SERVICES SECTOR,2013,4832.98
806,HOSPITAL & DIAGNOSTIC CENTRES,2013,256.86
807,EDUCATION,2013,172.2
808,HOTEL & TOURISM,2013,3259.05
809,TRADING,2013,717.8
810,RETAIL TRADING,2013,22.31
811,AGRICULTURE SERVICES,2013,161.47
812,"DIAMOND,GOLD ORNAMENTS",2013,52.61
813,TEA AND COFFEE,2013,0.27
814,PRINTING OF BOOKS,2013,14.34
815,COIR,2013,0.15
816,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2013,283.89
817,CONSTRUCTION DEVELOPMENT,2013,1332.49
818,MISCELLANEOUS INDUSTRIES,2013,229.49
819,METALLURGICAL INDUSTRIES,2014,567.63
820,MINING,2014,12.73
821,POWER,2014,1066.08
822,NON-CONVENTIONAL ENERGY,2014,414.25
823,COAL PRODUCTION,2014,2.96
824,PETROLEUM & NATURAL GAS,2014,112.23
825,BOILERS AND STEAM GENERATING PLANTS,2014,0.17
826,PRIME MOVER,2014,212.78
827,ELECTRICAL EQUIPMENTS,2014,134.31
828,COMPUTER SOFTWARE & HARDWARE,2014,1126.27
829,ELECTRONICS,2014,132.58
830,TELECOMMUNICATIONS,2014,1306.95
831,INFORMATION & BROADCASTING,2014,428.52
832,AUTOMOBILE INDUSTRY,2014,1517.28
833,AIR TRANSPORT,2014,45.95
834,SEA TRANSPORT,2014,20.49
835,PORTS,2014,0.31
836,RAILWAY RELATED COMPONENTS,2014,236.93
837,INDUSTRIAL MACHINERY,2014,477.38
838,MACHINE TOOLS,2014,64.52
839,AGRICULTURAL MACHINERY,2014,48.78
840,EARTH-MOVING MACHINERY,2014,34.44
841,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2014,288.13
842,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2014,21.13
843,MEDICAL AND SURGICAL APPLIANCES,2014,173.48
844,INDUSTRIAL INSTRUMENTS,2014,0.53
845,SCIENTIFIC INSTRUMENTS,2014,45.08
846,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2014,0.0
847,FERTILIZERS,2014,20.65
848,CHEMICALS,2014,786.76
849,PHOTOGRAPHIC RAW FILM AND PAPER,2014,0.0
850,DYE-STUFFS,2014,0.0
851,DRUGS & PHARMACEUTICALS,2014,1279.34
852,"TEXTILES (INCLUDING DYED,PRINTED)",2014,198.86
853,PAPER AND PULP,2014,26.86
854,SUGAR,2014,3.08
855,FERMENTATION INDUSTRIES,2014,814.58
856,FOOD PROCESSING INDUSTRIES,2014,3982.89
857,VEGETABLE OILS AND VANASPATI,2014,21.55
858,"SOAPS, COSMETICS & TOILET PREPARATIONS",2014,108.44
859,RUBBER GOODS,2014,370.54
860,"LEATHER,LEATHER GOODS AND PICKERS",2014,6.14
861,GLUE AND GELATIN,2014,0.97
862,GLASS,2014,43.09
863,CERAMICS,2014,150.09
864,CEMENT AND GYPSUM PRODUCTS,2014,254.01
865,TIMBER PRODUCTS,2014,6.16
866,DEFENCE INDUSTRIES,2014,0.82
867,CONSULTANCY SERVICES,2014,285.85
868,SERVICES SECTOR,2014,2225.1
869,HOSPITAL & DIAGNOSTIC CENTRES,2014,684.58
870,EDUCATION,2014,262.09
871,HOTEL & TOURISM,2014,486.38
872,TRADING,2014,1343.39
873,RETAIL TRADING,2014,11.3
874,AGRICULTURE SERVICES,2014,91.01
875,"DIAMOND,GOLD ORNAMENTS",2014,42.56
876,TEA AND COFFEE,2014,5.86
877,PRINTING OF BOOKS,2014,113.78
878,COIR,2014,0.54
879,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2014,485.37
880,CONSTRUCTION DEVELOPMENT,2014,1226.05
881,MISCELLANEOUS INDUSTRIES,2014,468.74
882,METALLURGICAL INDUSTRIES,2015,359.34
883,MINING,2015,684.39
884,POWER,2015,707.04
885,NON-CONVENTIONAL ENERGY,2015,615.95
886,COAL PRODUCTION,2015,0.0
887,PETROLEUM & NATURAL GAS,2015,1079.02
888,BOILERS AND STEAM GENERATING PLANTS,2015,1.33
889,PRIME MOVER,2015,230.7
890,ELECTRICAL EQUIPMENTS,2015,574.83
891,COMPUTER SOFTWARE & HARDWARE,2015,2296.04
892,ELECTRONICS,2015,96.84
893,TELECOMMUNICATIONS,2015,2894.94
894,INFORMATION & BROADCASTING,2015,254.96
895,AUTOMOBILE INDUSTRY,2015,2725.64
896,AIR TRANSPORT,2015,74.56
897,SEA TRANSPORT,2015,333.22
898,PORTS,2015,1.9
899,RAILWAY RELATED COMPONENTS,2015,129.73
900,INDUSTRIAL MACHINERY,2015,716.79
901,MACHINE TOOLS,2015,24.06
902,AGRICULTURAL MACHINERY,2015,72.35
903,EARTH-MOVING MACHINERY,2015,30.11
904,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2015,186.69
905,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2015,33.39
906,MEDICAL AND SURGICAL APPLIANCES,2015,145.93
907,INDUSTRIAL INSTRUMENTS,2015,0.85
908,SCIENTIFIC INSTRUMENTS,2015,32.34
909,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2015,0.0
910,FERTILIZERS,2015,225.32
911,CHEMICALS,2015,762.76
912,PHOTOGRAPHIC RAW FILM AND PAPER,2015,0.75
913,DYE-STUFFS,2015,54.89
914,DRUGS & PHARMACEUTICALS,2015,1497.74
915,"TEXTILES (INCLUDING DYED,PRINTED)",2015,197.42
916,PAPER AND PULP,2015,116.21
917,SUGAR,2015,27.77
918,FERMENTATION INDUSTRIES,2015,225.38
919,FOOD PROCESSING INDUSTRIES,2015,515.86
920,VEGETABLE OILS AND VANASPATI,2015,148.34
921,"SOAPS, COSMETICS & TOILET PREPARATIONS",2015,177.22
922,RUBBER GOODS,2015,284.51
923,"LEATHER,LEATHER GOODS AND PICKERS",2015,34.21
924,GLUE AND GELATIN,2015,21.44
925,GLASS,2015,41.82
926,CERAMICS,2015,35.29
927,CEMENT AND GYPSUM PRODUCTS,2015,208.99
928,TIMBER PRODUCTS,2015,8.97
929,DEFENCE INDUSTRIES,2015,0.08
930,CONSULTANCY SERVICES,2015,458.13
931,SERVICES SECTOR,2015,4443.26
932,HOSPITAL & DIAGNOSTIC CENTRES,2015,567.85
933,EDUCATION,2015,78.86
934,HOTEL & TOURISM,2015,777.01
935,TRADING,2015,2727.96
936,RETAIL TRADING,2015,168.72
937,AGRICULTURE SERVICES,2015,59.95
938,"DIAMOND,GOLD ORNAMENTS",2015,280.18
939,TEA AND COFFEE,2015,1.43
940,PRINTING OF BOOKS,2015,72.58
941,COIR,2015,1.36
942,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2015,870.25
943,CONSTRUCTION DEVELOPMENT,2015,769.14
944,MISCELLANEOUS INDUSTRIES,2015,765.88
945,METALLURGICAL INDUSTRIES,2016,456.31
946,MINING,2016,520.67
947,POWER,2016,868.8
948,NON-CONVENTIONAL ENERGY,2016,776.51
949,COAL PRODUCTION,2016,0.0
950,PETROLEUM & NATURAL GAS,2016,103.02
951,BOILERS AND STEAM GENERATING PLANTS,2016,77.91
952,PRIME MOVER,2016,159.13
953,ELECTRICAL EQUIPMENTS,2016,444.88
954,COMPUTER SOFTWARE & HARDWARE,2016,5904.36
955,ELECTRONICS,2016,208.39
956,TELECOMMUNICATIONS,2016,1324.4
957,INFORMATION & BROADCASTING,2016,1009.34
958,AUTOMOBILE INDUSTRY,2016,2526.82
959,AIR TRANSPORT,2016,361.25
960,SEA TRANSPORT,2016,429.3
961,PORTS,2016,0.0
962,RAILWAY RELATED COMPONENTS,2016,73.99
963,INDUSTRIAL MACHINERY,2016,568.26
964,MACHINE TOOLS,2016,126.38
965,AGRICULTURAL MACHINERY,2016,16.44
966,EARTH-MOVING MACHINERY,2016,97.66
967,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2016,274.57
968,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2016,36.68
969,MEDICAL AND SURGICAL APPLIANCES,2016,173.26
970,INDUSTRIAL INSTRUMENTS,2016,7.42
971,SCIENTIFIC INSTRUMENTS,2016,6.36
972,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2016,0.0
973,FERTILIZERS,2016,20.93
974,CHEMICALS,2016,1469.95
975,PHOTOGRAPHIC RAW FILM AND PAPER,2016,0.0
976,DYE-STUFFS,2016,3.32
977,DRUGS & PHARMACEUTICALS,2016,754.26
978,"TEXTILES (INCLUDING DYED,PRINTED)",2016,230.13
979,PAPER AND PULP,2016,85.21
980,SUGAR,2016,105.85
981,FERMENTATION INDUSTRIES,2016,202.36
982,FOOD PROCESSING INDUSTRIES,2016,505.88
983,VEGETABLE OILS AND VANASPATI,2016,34.22
984,"SOAPS, COSMETICS & TOILET PREPARATIONS",2016,193.26
985,RUBBER GOODS,2016,296.15
986,"LEATHER,LEATHER GOODS AND PICKERS",2016,17.13
987,GLUE AND GELATIN,2016,0.82
988,GLASS,2016,25.78
989,CERAMICS,2016,51.21
990,CEMENT AND GYPSUM PRODUCTS,2016,19.69
991,TIMBER PRODUCTS,2016,53.17
992,DEFENCE INDUSTRIES,2016,0.1
993,CONSULTANCY SERVICES,2016,517.47
994,SERVICES SECTOR,2016,6889.46
995,HOSPITAL & DIAGNOSTIC CENTRES,2016,742.35
996,EDUCATION,2016,230.78
997,HOTEL & TOURISM,2016,1332.69
998,TRADING,2016,3845.32
999,RETAIL TRADING,2016,262.24
1000,AGRICULTURE SERVICES,2016,84.65
1001,"DIAMOND,GOLD ORNAMENTS",2016,58.54
1002,TEA AND COFFEE,2016,1.12
1003,PRINTING OF BOOKS,2016,122.81
1004,COIR,2016,0.0
1005,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2016,4510.71
1006,CONSTRUCTION DEVELOPMENT,2016,112.55
1007,MISCELLANEOUS INDUSTRIES,2016,668.77
1008,METALLURGICAL INDUSTRIES,2017,1440.18
1009,MINING,2017,55.75
1010,POWER,2017,1112.98
1011,NON-CONVENTIONAL ENERGY,2017,783.57
1012,COAL PRODUCTION,2017,0.0
1013,PETROLEUM & NATURAL GAS,2017,180.4
1014,BOILERS AND STEAM GENERATING PLANTS,2017,53.91
1015,PRIME MOVER,2017,286.88
1016,ELECTRICAL EQUIPMENTS,2017,2230.69
1017,COMPUTER SOFTWARE & HARDWARE,2017,3651.71
1018,ELECTRONICS,2017,83.97
1019,TELECOMMUNICATIONS,2017,5563.69
1020,INFORMATION & BROADCASTING,2017,1516.68
1021,AUTOMOBILE INDUSTRY,2017,1609.32
1022,AIR TRANSPORT,2017,83.4
1023,SEA TRANSPORT,2017,735.06
1024,PORTS,2017,0.0
1025,RAILWAY RELATED COMPONENTS,2017,87.57
1026,INDUSTRIAL MACHINERY,2017,329.3
1027,MACHINE TOOLS,2017,23.89
1028,AGRICULTURAL MACHINERY,2017,15.19
1029,EARTH-MOVING MACHINERY,2017,52.23
1030,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2017,245.24
1031,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2017,7.44
1032,MEDICAL AND SURGICAL APPLIANCES,2017,479.71
1033,INDUSTRIAL INSTRUMENTS,2017,0.8
1034,SCIENTIFIC INSTRUMENTS,2017,76.66
1035,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2017,0.0
1036,FERTILIZERS,2017,0.89
1037,CHEMICALS,2017,1392.8
1038,PHOTOGRAPHIC RAW FILM AND PAPER,2017,0.0
1039,DYE-STUFFS,2017,10.7
1040,DRUGS & PHARMACEUTICALS,2017,857.39
1041,"TEXTILES (INCLUDING DYED,PRINTED)",2017,618.95
1042,PAPER AND PULP,2017,197.61
1043,SUGAR,2017,15.92
1044,FERMENTATION INDUSTRIES,2017,110.86
1045,FOOD PROCESSING INDUSTRIES,2017,727.22
1046,VEGETABLE OILS AND VANASPATI,2017,108.45
1047,"SOAPS, COSMETICS & TOILET PREPARATIONS",2017,92.6
1048,RUBBER GOODS,2017,262.76
1049,"LEATHER,LEATHER GOODS AND PICKERS",2017,2.3
1050,GLUE AND GELATIN,2017,90.6
1051,GLASS,2017,51.69
1052,CERAMICS,2017,15.4
1053,CEMENT AND GYPSUM PRODUCTS,2017,2130.1
1054,TIMBER PRODUCTS,2017,10.23
1055,DEFENCE INDUSTRIES,2017,0.0
1056,CONSULTANCY SERVICES,2017,261.14
1057,SERVICES SECTOR,2017,8684.07
1058,HOSPITAL & DIAGNOSTIC CENTRES,2017,747.38
1059,EDUCATION,2017,160.12
1060,HOTEL & TOURISM,2017,916.13
1061,TRADING,2017,2338.4
1062,RETAIL TRADING,2017,450.94
1063,AGRICULTURE SERVICES,2017,76.43
1064,"DIAMOND,GOLD ORNAMENTS",2017,123.92
1065,TEA AND COFFEE,2017,1.6
1066,PRINTING OF BOOKS,2017,53.17
1067,COIR,2017,0.0
1068,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2017,1860.73
1069,CONSTRUCTION DEVELOPMENT,2017,105.14
1070,MISCELLANEOUS INDUSTRIES,2017,296.4
